Monitoring Location,State,Temp_Min,Temp_Max,DO_Min,DO_Max,pH_Min,pH_Max,Conductivity_Min,Conductivity_Max,BOD_Min,BOD_Max,N_Min,N_Max,Fecal_Min,Fecal_Max,Coliform_Min,Coliform_Max,Strepto_Min,Strepto_Max,Cluster
"RIVER TIAU,  ZOKHAWTHAR,
NEAR TIAU BRIDGE,CHAMPHAI DIST.",MIZORAM,17.0,23.0,5.1,9.2,7.2,8.4,137.0,643.0,1.0,1.2,0.02,6.02,,,,,,,0
"RIVER TUIPUI NEAR PHE WATER TREATMENT PLANT, CHAMPHAI DIST.",MIZORAM,17.0,22.0,5.1,7.8,6.4,7.9,73.0,194.0,1.0,5.6,0.02,1.31,,,,,,,0
RIVER LEIMAKHONG  NEAR KANTO AWANG LEIKAI,MANIPUR,19.0,29.0,7.1,7.3,7.1,7.3,95.0,240.0,3.2,3.5,0.0,0.0,50.0,75.0,75.0,190.0,,,0
"TUPUL RIVER  AT TUPUL BRIDGE, NONEY",MANIPUR,18.0,20.0,7.2,7.4,7.2,7.4,290.0,320.0,3.0,3.1,0.0,0.0,20.0,35.0,50.0,65.0,,,0
RIVER  KONGBA AT IRONG,MANIPUR,18.2,29.0,7.0,7.3,7.0,7.8,120.0,215.0,3.2,3.4,0.0,0.0,125.0,170.0,245.0,315.0,,,0
RIVER KONGBA  AT IRANPHAM,MANIPUR,20.0,29.0,6.8,7.3,6.8,7.4,180.0,498.0,3.3,3.5,0.0,0.0,170.0,300.0,335.0,465.0,,,0
RIVER NONGAL AT NANGALBIBRA,MEGHALAYA,15.0,23.0,6.9,7.7,4.0,4.5,130.0,154.0,1.3,2.0,0.32,0.49,9.0,43.0,350.0,630.0,2,13,0
RIVER DAMRING AT BOLDAMGRE,MEGHALAYA,16.0,22.0,7.0,7.4,7.0,8.0,65.0,769.0,1.3,2.1,0.34,0.55,9.0,49.0,330.0,630.0,4,17,0
"RIVER CHITE STREAM, NEAR SIPMIU'S STP, BETHLEHEM VENGTHLANG, AIZAWL",MIZORAM,20.0,24.0,2.2,7.4,7.2,8.2,505.0,994.0,1.2,29.0,0.02,14.31,9.0,170.0,1600.0,2400.0,240,240,0
"RIVER TUIKUAL STREAM, U/S,
MIZORAM NEW CAPITAL COMPLEX , DINTHAR, AIZAWL",MIZORAM,16.0,26.0,0.3,5.4,6.9,8.0,76.0,1020.0,2.2,29.1,0.02,8.73,2.0,1100.0,1100.0,2400.0,26,26,0
"RIVER TUIRIAL D/S,  HEPP DAM, SAIPUM, KOLASIB DIST.",MIZORAM,19.0,36.0,5.3,9.1,6.9,7.5,81.0,119.0,1.0,1.4,0.02,0.78,,,,,,,0
"RIVER SERLUI  D/S, SERLUI 'B' HEPP DAM, BILKHAWTHLIR, KOLASIB DIST.",MIZORAM,19.0,38.0,5.8,9.1,6.3,7.3,93.0,331.0,1.0,1.4,0.02,0.76,,,,,,,0
"RIVER TEIREI  D/S
NR CONFLUENCE PT WITH TLAWNG RIVER, SAPMARA, BAIRABI,KOLASIB DIST.",MIZORAM,10.0,25.0,5.4,7.1,6.4,8.4,92.0,453.0,1.0,1.4,0.02,1.9,,,,,,,0
"RIVER KHAWTHLANGTUIPUI ,TLABUNG, LUNGLEI DIST.",MIZORAM,20.0,28.0,5.4,9.7,6.7,7.6,46.0,272.0,1.0,1.4,0.02,0.77,,,,,,,0
"RIVER, TUIPUI D  DARZOKAI, HNAHTHIAL DIST.",MIZORAM,17.0,30.0,5.8,12.7,6.8,8.1,51.0,233.0,1.0,1.4,0.02,0.83,,,,,,,0
"RIVER TUIPUI  U/S,
NR CONFLUENCE PT KEILUNGLIAH STREAM, VENGTHAR, CHAMPHAI",MIZORAM,17.0,25.0,2.5,7.6,6.4,7.3,40.0,240.0,1.0,1.2,0.02,3.11,,,,,,,0
"RIVER NGENGPUI STREAM,NR KALADAN MULTI MODAL RD, LAWNGTLAI DIST.",MIZORAM,21.0,24.0,5.1,7.5,6.3,7.6,74.0,175.0,1.0,1.6,0.02,0.85,,,,,,,0
"RIVER VANTAWNG WATER FALL, THENZAWL, SERCHHIP DIST.",MIZORAM,14.0,27.0,5.1,7.2,6.5,7.1,30.0,128.0,1.0,1.5,0.02,1.43,,,,,,,0
"RIVER KOHORA AT N.H. CROSSING, KOHORA, ASSAM (BRAHMAPUTRA)",ASSAM,22.0,32.0,3.7,9.2,6.8,7.4,106.0,176.0,2.0,2.4,0.7,2.0,360.0,1100.0,1100.0,2100.0,120,290,0
RIVER SDERKARIAH AT SOHRA (CHERRAPUNJEE),MEGHALAYA,14.0,19.0,6.6,8.1,4.0,5.5,66.0,130.0,1.0,1.7,0.32,0.59,2.0,4.0,12.0,79.0,2,4,0
RIVER LAITRYNGEW AT LAITRYNGEW,MEGHALAYA,14.0,18.0,6.7,7.7,3.8,5.4,86.0,178.0,1.0,1.8,0.32,0.62,2.0,4.0,21.0,84.0,2,4,0
RIVER WAHKHLEK KHLEK AT SAITSOHPEN,MEGHALAYA,14.0,18.0,7.2,8.5,6.9,7.6,81.0,116.0,1.1,1.6,0.32,5.64,2.0,4.0,23.0,49.0,2,2,0
RIVER WAHREW AT MAJAI,MEGHALAYA,17.0,19.0,7.6,8.5,6.9,7.3,33.0,58.0,1.0,1.4,0.32,5.51,2.0,2.0,27.0,79.0,2,2,0
RIVER UMNGI AT JAKREM,MEGHALAYA,9.0,20.0,7.1,8.5,6.8,7.2,30.0,45.0,1.0,1.4,0.32,0.46,2.0,4.0,23.0,70.0,2,2,0
RIVER UMNGI AT UMPUNG,MEGHALAYA,15.0,21.0,7.2,8.6,7.0,7.8,38.0,55.0,1.0,1.7,0.32,5.32,2.0,6.0,27.0,130.0,2,4,0
RIVER RWIANG AT RWIANG,MEGHALAYA,14.2,21.0,6.9,8.4,6.7,7.3,34.0,53.0,1.0,1.7,0.32,5.45,2.0,17.0,33.0,170.0,2,4,0
RIVER KALIPAI AT RYMBAI,MEGHALAYA,14.6,20.0,4.2,7.8,2.7,3.2,315.0,1095.0,1.2,2.7,0.32,5.32,2.0,2.0,2.0,2.0,2,2,0
RIVER KMAI UM AT RYMBAI,MEGHALAYA,14.4,20.0,6.6,7.9,2.6,3.0,680.0,1505.0,1.0,2.3,0.32,0.65,2.0,2.0,2.0,2.0,2,2,0
RIVER WAIKHRWI AT MOOPALA,MEGHALAYA,9.0,19.0,6.7,7.8,2.7,3.0,464.0,1160.0,1.1,1.9,0.32,0.34,2.0,2.0,2.0,2.0,2,2,0
"RIVER KWAI AT SUTNGA, JALAPHET",MEGHALAYA,12.0,20.0,6.2,7.8,3.6,4.3,126.0,360.0,1.2,2.1,0.32,0.32,2.0,2.0,2.0,2.0,2,2,0
RIVER LUKHA AT KHADDUM,MEGHALAYA,14.2,19.3,6.8,8.8,4.7,7.8,150.0,550.0,1.2,1.9,0.32,1.22,2.0,6.0,49.0,170.0,2,2,0
RIVER MYNTDU AT MIHMYNTDU,MEGHALAYA,12.0,20.0,6.6,7.6,6.6,6.9,36.0,61.0,1.3,2.1,0.32,0.71,46.0,140.0,430.0,1200.0,4,30,0
RIVER MYNTDU AT LESHKA,MEGHALAYA,13.0,21.0,7.0,8.4,5.0,7.1,41.0,76.0,1.0,1.9,0.35,0.63,11.0,63.0,170.0,2400.0,2,21,0
RIVER MYNTDU JOWAI,MEGHALAYA,15.0,20.0,6.7,7.4,6.7,7.1,36.0,58.0,1.6,2.4,0.32,0.96,220.0,480.0,1400.0,3100.0,130,240,0
RIVER KYRHUHKHLA KHLIEHRIAT,MEGHALAYA,13.0,19.0,6.6,7.2,2.8,4.1,111.0,550.0,1.9,2.7,0.32,0.7,2.0,2.0,2.0,2.0,2,2,0
RIVER LAMU AT LESHKA,MEGHALAYA,12.6,20.0,6.6,8.5,6.8,7.6,40.0,75.0,1.0,1.8,0.32,0.46,4.0,23.0,110.0,240.0,2,4,0
RIVER LYNRIANG  AT LESHKA POWER HOUSE,MEGHALAYA,13.8,20.0,6.4,7.6,2.7,3.5,433.0,1270.0,1.1,2.0,0.32,0.47,2.0,2.0,2.0,2.0,2,2,0
RIVER UMIUREM AT LALE,MEGHALAYA,14.0,19.0,6.8,8.4,3.8,4.5,158.0,595.0,1.0,2.0,0.32,0.47,2.0,2.0,2.0,2.0,2,2,0
RIVER KUPLI AT LOOSKI,MEGHALAYA,14.6,19.0,6.6,8.4,3.8,4.5,143.0,308.0,1.2,1.9,0.32,0.43,2.0,2.0,2.0,2.0,2,2,0
RIVER KUPLI AT KHANDONG,MEGHALAYA,14.0,19.0,6.6,7.8,3.7,4.7,140.0,301.0,1.2,1.9,0.32,0.56,2.0,2.0,2.0,84.0,2,2,0
RIVER THLU UMWI AT THLU UMWI,MEGHALAYA,10.0,21.0,6.7,7.9,4.0,4.9,36.0,58.0,1.2,2.0,0.32,0.39,2.0,9.0,12.0,120.0,2,4,0
RIVER SIMSANG WILLIAMNAGAR,MEGHALAYA,15.0,23.0,6.8,7.8,6.9,7.7,50.0,73.0,1.2,2.0,0.32,0.45,23.0,170.0,330.0,790.0,4,58,0
"RIVER TEESTA AFTER CONFLUENCS OF RIVERS
LACHENCHU AND LACHUNGCHU AT CHUNGTHANG",SIKKIM,9.2,18.0,7.0,8.7,6.8,7.2,91.0,180.0,2.0,2.3,1.0,3.8,24.0,61.0,56.0,130.0,,,0
RIVER TEESTA AFTER CONFLUENCS WITH RANICHU AT SINGTAM,SIKKIM,14.0,24.0,7.4,9.4,6.6,7.4,139.0,173.0,2.0,2.4,1.9,4.4,31.0,85.0,66.0,178.0,,,0
"RIVER TEESTA AFTER CONFLUENCS WITH RONGPOCHU AFTER MEETING THE INDUSTRIAL EFFLUENTS FROM
THE TOWN RANGPO",SIKKIM,16.0,23.0,7.9,9.1,6.7,7.4,139.0,170.0,1.6,2.3,2.0,4.7,29.0,105.0,61.0,185.0,,,0
RIVER TEESTA AT MELLI DOWNSTREAM MELLI,SIKKIM,14.0,23.0,8.0,9.4,6.8,7.6,132.0,182.0,2.0,2.4,2.0,5.0,32.0,100.0,64.0,185.0,,,0
"RIVER TEESTA AT SEVOKE, SILIGURI, DARJEELING",WEST BENGAL,11.0,27.0,7.1,8.9,6.3,8.0,36.0,86.0,1.0,2.1,0.3,0.75,800.0,24000.0,2300.0,50000.0,11,140,0
RIVER TEESTA AT JALPESH,WEST BENGAL,11.0,29.0,6.0,8.6,6.9,7.7,52.0,8136.0,1.0,2.8,0.3,0.57,1100.0,7000.0,2100.0,50000.0,17,130,0
RIVER RAIDAK AT ALIPURDUAR,WEST BENGAL,20.0,29.0,6.0,9.0,7.3,7.9,110.0,179.0,1.1,2.4,0.3,0.3,800.0,3400.0,1700.0,17000.0,17,70,0
"RIVER SONAI AT SONAI, ASSAM",ASSAM,21.0,25.0,5.0,5.6,7.2,7.4,88.0,120.0,2.2,2.5,0.7,1.1,600.0,1100.0,1100.0,2000.0,210,290,0
"RIVER RANGA NADI D/S OF HYDEL PROJECT, ASSAM",ASSAM,19.0,28.0,5.4,6.2,6.9,8.0,122.0,168.0,2.0,2.6,0.6,1.4,300.0,730.0,730.0,1600.0,95,290,0
RIVER RANGIT AT DAM SITE (NHPC),SIKKIM,10.0,23.0,8.0,8.6,6.9,7.3,142.0,177.0,1.7,2.4,2.0,4.7,19.0,71.0,46.0,134.0,,,0
RIVER RANGIT AT LEGSHIP,SIKKIM,13.0,23.0,7.9,9.8,6.9,7.4,131.0,192.0,1.5,2.3,2.0,4.5,20.0,87.0,52.0,154.0,,,0
RIVER RANGIT AT RESHI,SIKKIM,13.0,22.0,8.0,9.2,6.7,7.3,148.0,181.0,1.8,2.3,2.0,5.0,23.0,82.0,56.0,140.0,,,0
RIVER RANGIT AT JORETHANG,SIKKIM,15.0,23.0,8.0,9.2,6.6,7.5,137.0,184.0,2.0,2.4,2.0,4.4,22.0,99.0,35.0,162.0,,,0
RIVER RANGIT AT TRIVENI MELLI,SIKKIM,14.0,23.0,8.1,9.0,6.7,7.5,139.0,179.0,2.0,2.5,2.0,4.3,32.0,100.0,56.0,172.0,,,0
"RIVER RANGIT AT UPSTREAM OF DAM , RANGIT STAGE-
IV RESHI NHPC RESHI SORENG,DIST",SIKKIM,15.0,24.0,7.8,8.4,6.9,7.3,51.0,89.0,1.8,2.2,2.0,4.5,30.0,84.0,63.0,125.0,,,0
"RIVER RANGIT AT JORETHANG (MAJIGOAN), NAMCHI",SIKKIM,16.0,24.0,7.8,8.6,6.7,7.3,25.0,97.0,1.9,2.4,1.8,21.0,30.0,80.0,72.0,105.0,,,0
"RIVER RANGIT AT MANPUR(BELOW INDUSTRIAL AREA),NAMCHI DIST SIKKIM",SIKKIM,15.0,23.0,7.8,8.4,6.6,7.3,48.0,125.0,1.9,2.1,1.8,4.9,27.0,80.0,61.0,120.0,,,0
"RIVER TEESTA AT MAMRING BELOW MAMRING BRIDGE,NAMCHI, DIST , SIKKIM",SIKKIM,15.0,23.0,3.5,8.9,7.0,7.4,51.0,109.0,2.0,2.3,2.0,4.6,31.0,103.0,70.0,153.0,,,0
"RIVER TEESTA AT BARDANG BELOW ATTC, PAKYONG DIST",SIKKIM,16.0,24.0,7.9,9.0,6.8,7.2,54.0,115.0,1.9,2.3,2.0,4.3,35.0,94.0,67.0,112.0,,,0
RIVER AFTER CONFLUENCE OF RANICHU AND RORACHU AT RANIPOOL,SIKKIM,14.0,24.0,7.8,9.0,6.7,7.4,121.0,180.0,2.1,2.6,1.6,4.8,34.0,105.0,45.0,187.0,,,0
"RIVER RANICHU BEFORE CONFLUENCE WITH TEESTA
AT SINGTAM, SIKKIM",SIKKIM,15.0,23.0,8.1,9.1,6.6,7.5,119.0,181.0,2.0,2.5,1.6,25.0,22.0,100.0,54.0,170.0,,,0
RIVER DIKCHU BEFORE CONFLUENCS WITH RIVER TEESTA NEAR NHPC HYDROELECTRIC POWER PROJECT DIKCHU,SIKKIM,8.0,18.0,7.8,9.1,6.6,7.4,105.0,190.0,1.7,2.3,1.5,4.1,31.0,76.0,54.0,155.0,,,0
RIVER RANGPO U/S DAM SITE,SIKKIM,15.0,22.0,8.1,8.8,6.7,7.4,149.0,172.0,1.9,2.4,2.0,4.5,32.0,70.0,67.0,120.0,,,0
RIVER RANGPO D/S DAM SITE,SIKKIM,14.0,23.0,8.0,8.7,6.7,7.5,157.0,171.0,2.0,2.3,2.1,4.7,28.0,100.0,64.0,149.0,,,0
RIVER RONGLI U/S DAM SITE,SIKKIM,14.0,22.0,8.0,8.5,6.6,7.4,129.0,159.0,2.0,2.4,2.0,4.6,30.0,102.0,69.0,189.0,,,0
RIVER RONGLI D/S DAM SITE,SIKKIM,14.0,22.0,8.0,8.6,6.6,7.3,99.0,139.0,2.0,2.3,2.1,4.8,28.0,105.0,71.0,134.0,,,0
"RIVER RANGPO AT POWER HOUSE D/S OF GATI
INFRASTRUCTURE PVT. LTD.",SIKKIM,14.0,22.0,8.0,8.7,6.6,7.3,35.0,127.0,1.7,2.1,2.0,5.1,21.0,88.0,61.0,165.0,,,0
"RIVER RANGPO AT U/S OF RORATHANG BAZAR (ABOVE
SWISS GARNIER)",SIKKIM,13.0,21.0,7.5,8.8,6.5,7.3,34.0,148.0,1.5,2.2,1.8,5.2,24.0,120.0,79.0,200.0,,,0
RIVER RANGPO AT D/S OF RORATHANG BRIDGE,SIKKIM,13.0,22.0,7.9,8.7,6.7,7.3,32.0,112.0,1.6,2.4,1.8,4.5,29.0,123.0,52.0,173.0,,,0
RIVER RANGPO AT D/S OF PHARMA PLANT KUMREK,SIKKIM,13.0,22.0,7.0,8.4,6.7,7.4,33.0,135.0,2.0,2.3,2.0,4.6,36.0,100.0,67.0,168.0,,,0
"RIVER RANGPO AT D/S OF POWER HOUSE OF MADHYA
BHARAT",SIKKIM,15.0,23.0,7.3,8.4,6.7,7.5,34.0,132.0,2.0,2.5,1.9,4.4,32.0,112.0,79.0,175.0,,,0
"RIVER KAPILI AT DHARMTUL BRIDGE, NH-31, MORIGAON, ASSAM",ASSAM,18.0,30.0,5.0,9.2,6.8,7.5,120.0,176.0,2.1,2.5,0.7,1.7,360.0,930.0,910.0,1600.0,120,290,0
"RIVER KAROLA, D/S OF JALPAIGURI, NEAR MIN BHAWAN, JALPAIGURI",WEST BENGAL,21.0,29.0,4.0,8.2,6.8,7.8,70.0,164.0,1.0,8.0,0.3,0.77,2200.0,24000.0,5000.0,90000.0,23,540,0
"RIVER KATHAKAL U/S AT MATIJURI, DIST. HAILAKANDI, ASSAM",ASSAM,22.0,24.0,5.3,6.2,6.8,7.2,104.0,134.0,2.0,2.4,0.7,1.1,610.0,1500.0,1100.0,2100.0,210,460,0
"RIVER KHARSANG B/C WITH BURIDIHING NEAR
KHARSANG (ASSAM-ARUNANCHAL BORDER), ASSAM",ASSAM,21.0,24.0,5.1,8.1,6.9,7.6,128.0,166.0,2.0,2.6,0.4,1.0,300.0,730.0,720.0,1600.0,120,240,0
"RIVER KOLONG AT MARIGAON, ASSAM",ASSAM,18.0,33.0,5.0,8.4,6.9,7.8,140.0,176.0,2.0,2.5,0.7,1.5,360.0,930.0,910.0,2000.0,120,290,0
"RIVER KOLONG AT U/S OF ANANDARAM DEKIAL PHUKAN
BRIDGE, NAGAON, ASSAM",ASSAM,17.0,29.0,5.0,7.4,6.8,7.5,118.0,180.0,2.0,2.5,0.8,1.9,620.0,1100.0,1500.0,2000.0,210,290,0
"RIVER KUNDLI AT KUNDLI/ SAPAKHOWA, SADIA, ASSAM",ASSAM,21.0,25.0,5.0,8.4,7.0,7.7,126.0,172.0,2.0,2.6,0.6,1.6,300.0,910.0,1400.0,2000.0,120,290,0
"RIVER MANU AT MANUGHAT, CONFL POINT OF
CHAWMANU CHARRA & MANU RIVER, DHALAI",TRIPURA,21.0,30.5,5.4,6.6,7.0,7.7,125.0,189.0,1.2,2.2,0.7,1.9,39.0,58.0,94.0,210.0,,,0
"RIVER MANU AT KAILASHAHAR D/S, NORTH TRIPURA",TRIPURA,21.0,31.0,5.3,6.7,7.0,7.7,122.0,191.0,1.1,2.1,0.7,1.9,26.0,58.0,94.0,210.0,,,0
"RIVER MANU AT KUMARGHAT, NORTH TRIPURA",TRIPURA,21.0,31.0,5.3,6.4,7.1,7.7,124.0,179.0,1.2,1.9,0.7,1.7,31.0,58.0,84.0,210.0,,,0
RIVER NONBAH AT NANGSTOIN MARKET,MEGHALAYA,13.0,20.0,6.5,7.6,6.7,7.0,40.0,83.0,2.0,2.7,0.32,0.93,430.0,1200.0,2700.0,4900.0,21,480,0
RIVER NONBAH AT PHOTSOHSAT,MEGHALAYA,13.6,20.0,6.6,8.6,6.7,7.3,31.0,44.0,1.1,1.7,0.32,0.54,4.0,70.0,110.0,170.0,2,6,0
RIVER KYNSHI AT SOHIONG,MEGHALAYA,12.3,19.0,6.6,7.8,6.7,7.3,29.0,44.0,1.2,1.7,0.32,0.53,6.0,33.0,240.0,540.0,2,6,0
RIVER KYNSHI AT NANGKHNUM,MEGHALAYA,12.5,20.0,6.8,8.0,6.9,7.3,32.0,42.0,1.0,1.5,0.32,0.46,2.0,2.0,38.0,70.0,2,2,0
RIVER KYNSHI AT RANIKOR,MEGHALAYA,15.0,22.0,7.0,8.4,6.5,6.9,42.0,72.0,1.0,1.6,0.32,0.51,2.0,4.0,110.0,170.0,2,2,0
"RIVER WAH BLEI AT RIANGDO,",MEGHALAYA,14.6,21.0,6.9,7.9,6.7,7.5,33.0,53.0,1.2,1.8,0.32,0.52,4.0,17.0,110.0,240.0,2,4,0
"RIVER WAH BLEI AT SDAD DKHAR,",MEGHALAYA,14.0,20.0,6.8,8.9,6.5,6.8,62.0,89.0,1.0,1.8,0.32,0.47,2.0,21.0,120.0,170.0,2,4,0
RIVER LOHIT AT ALUBARI (D/S),ARUNACHAL PRADESH,15.0,28.5,0.7,9.3,7.4,8.1,102.0,286.0,1.0,1.0,0.0,0.0,,,,,,,0
RIVER MANAS (SANTOSHPUR) NEAR LENGTISINGA,ASSAM,19.0,34.0,5.2,5.6,6.8,7.6,132.0,146.0,2.0,2.7,0.6,1.6,600.0,910.0,1100.0,2100.0,210,290,0
"RIVER MANAS  AT NH-31 CROSSING, BARPETA DISTRICT, ASSAM",ASSAM,19.0,32.0,5.1,5.7,6.9,7.7,132.0,168.0,1.9,2.7,0.6,2.2,600.0,730.0,1100.0,1500.0,210,240,0
"RIVER MANEY KHOLA AT BURTUK NEAR ARMY BASE
CAMP, 4 KM U/S OF GANGTOK",SIKKIM,12.0,21.0,7.3,8.4,6.8,7.5,112.0,172.0,1.9,2.5,1.9,4.6,22.0,97.0,27.0,155.0,,,0
"RIVER MANEY KHOLA AFTER CONFLUENCS  WITH RAY KHOLA AT ADAMPOOL AFTER MEETING WASTE OF STP,
GANGTOK",SIKKIM,13.0,23.0,7.8,8.5,6.7,7.3,121.0,178.0,2.1,22.0,2.0,23.0,38.0,93.0,68.0,196.0,,,0
"RIVER MILAK AT BORBORA WARD, TULI",NAGALAND,19.6,30.6,6.9,8.2,7.1,8.2,79.0,490.0,1.0,1.4,0.5,1.5,,,,,,,0
"RIVER MILAK AT PAPER NAGAR, TULI",NAGALAND,19.5,30.0,7.0,8.3,7.4,8.4,85.0,520.0,1.0,1.5,0.4,1.3,,,,,,,0
RIVER NAMCHIK AT KHARSANG,"ARUNACHAL
PRADESH",19.6,27.3,7.4,9.4,7.4,8.1,78.0,476.0,1.0,1.0,0.0,0.0,,,,,,,0
"RIVER NOA DIHING AT NAMSAI, (D/S OF DIHING)","ARUNACHAL
PRADESH",19.0,26.9,6.6,8.7,7.6,8.4,83.0,313.0,1.0,2.2,0.0,0.0,,,,,,,0
"RIVER PACHIN AT NAHARLAGUN (BELOW BARAPANI BRIDGE), (D/S OF RIVER SENKI)",ARUNACHAL PRADESH,21.6,34.2,6.0,9.2,7.1,7.9,67.0,193.0,1.0,2.8,0.0,0.0,,,,,,,0
"RIVER PAGLDIA NEAR NALBARI TOWN, DIST. NALBARI,
ASSAM",ASSAM,22.0,33.0,5.8,8.1,7.0,8.0,142.0,230.0,2.0,2.8,0.6,1.8,610.0,1500.0,1100.0,2100.0,210,490,0
"RIVER PANCHNOI AT NH-52 CROSSING, ORANG, ASSAM",ASSAM,16.0,28.0,5.0,6.2,6.8,7.2,102.0,144.0,2.2,2.7,0.8,1.7,620.0,940.0,1300.0,2100.0,210,290,0
"RIVER MORA BHARALI AT TEZPUR, ASSAM",ASSAM,19.0,30.0,3.8,5.4,6.9,7.4,148.0,242.0,3.0,3.3,0.9,2.0,360.0,940.0,1100.0,2000.0,120,290,0
"RIVER CHATHE NEAR ICAR, MEDZIPHEMA",NAGALAND,17.2,31.4,6.6,8.0,6.5,8.9,85.0,232.0,1.2,1.8,0.4,1.8,,,,,,,0
RIVER DZU AT DZU BRIDGE,NAGALAND,20.4,32.2,6.1,8.6,6.6,8.6,95.0,760.0,1.4,2.0,0.5,2.1,,,,,,,0
"RIVER MAHI (D/S) CONF WITH R. CHAP (UNDER
SAGWARA-SARHI RD. BDG.), RAJASTHAN",RAJASTHAN,24.0,30.0,4.8,5.9,7.2,7.9,367.0,797.0,1.7,2.8,1.22,2.82,70.0,120.0,110.0,170.0,21,34,0
"RIVER MAHI AT GAMMON BRIDGE NEAR PADLA CHOWKI, BANSWARA (MP & RJASTHAN)",RAJASTHAN,21.0,30.0,8.1,9.5,7.1,8.2,182.0,351.0,2.0,2.5,0.32,0.5,2.0,10.0,63.0,170.0,2,2,0
RIVER MAHI AT SEVALIA,GUJARAT,25.0,32.0,7.5,8.2,7.9,8.5,263.0,480.0,1.0,1.0,0.52,0.86,7.0,240.0,22.0,500.0,2,2,0
RIVER MAHI AT VASAD,GUJARAT,24.0,33.0,7.5,8.5,7.8,8.5,320.0,595.0,1.0,1.0,0.72,1.14,2.0,14.0,21.0,50.0,,,0
"RIVER MAHI NEAR RAJASTHAN BORDER AT KADANA DAM,",GUJARAT,24.0,29.0,7.5,8.2,7.9,8.5,281.0,476.0,1.0,1.0,0.32,0.75,2.0,11.0,4.0,33.0,,,0
"RIVER MAHI AFTER CONF. WITH ANAS AT PARDI (BANASWADA),",GUJARAT,24.0,29.0,7.4,8.2,7.9,8.5,261.0,469.0,1.0,1.0,0.54,0.82,2.0,7.0,13.0,21.0,,,0
"RIVER MAHI AT VIRPUR,",GUJARAT,24.0,29.5,7.5,8.2,7.9,8.5,278.0,465.0,1.0,1.0,0.94,1.25,2.0,11.0,14.0,50.0,,,0
RIVER MAHI AT UMETA BRIDGE,GUJARAT,24.0,33.0,7.5,8.2,7.6,8.5,312.0,663.0,1.0,1.0,0.44,1.06,4.0,17.0,22.0,70.0,,,0
RIVER MAHI AT MUJPUR,GUJARAT,27.0,32.0,6.7,8.2,8.4,8.7,326.0,1440.0,1.0,1.2,0.32,1.24,14.0,80.0,63.0,350.0,,,0
"RIVER MAHI AT SHERKHI BRIDGESINDHROT BRIDGE-
VADODARA",GUJARAT,22.0,32.0,7.4,8.0,8.0,8.6,318.0,1550.0,1.0,1.0,1.02,1.31,4.0,30.0,17.0,70.0,,,0
RIVER MAHI AT DODKAVILLAGE : PRATHAMPURA,GUJARAT,22.0,30.0,7.5,8.5,8.1,8.5,307.0,554.0,1.0,1.0,0.82,1.36,4.0,30.0,21.0,70.0,,,0
"RIVER MAHI ABOUT 500 METERS D/S OF KADANA DAM NEAR BRIDGE, PANCHMAHAL, GUJARAT  (RAJASTHAN AND GUJARAT)",GUJARAT,29.0,29.0,4.9,4.9,7.9,7.9,400.0,400.0,1.3,1.3,0.32,0.32,170.0,170.0,340.0,340.0,,,0
"RIVER MAHI AT BADNAWAR, M.P.","MADHYA
PRADESH",20.0,22.0,7.0,7.8,7.1,8.4,274.0,603.0,1.0,1.4,0.8,1.59,2.0,2.0,40.0,49.0,,,0
"RIVER MAHI AT RANISINGH VILLAGE, RATLAM, UJJAIN",MADHYA PRADESH,21.0,29.0,7.0,7.5,7.6,7.9,270.0,390.0,1.6,2.0,0.32,1.01,2.0,2.0,46.0,48.0,2,2,0
RIVER MAHI FOREST GUEST HOUSE RAJAPUR MATAJI SHIVGARH RATLAM.,MADHYA PRADESH,20.0,29.0,7.2,7.6,7.5,8.5,224.0,476.0,1.6,2.0,0.32,0.75,2.0,2.0,46.0,49.0,2,2,0
RIVER MAHI AT VILLAGE BAJNA (MP & RJASTHAN),MADHYA PRADESH,22.0,26.0,8.4,8.9,7.4,8.2,162.0,355.0,2.0,2.3,0.32,0.92,2.0,12.0,130.0,150.0,2,2,0
RIVER ANAS RIVER NEAR ROAD BRIDGE JHABUA,MADHYA PRADESH,20.0,22.0,6.9,7.6,7.0,8.5,302.0,445.0,1.0,1.8,0.73,1.55,2.0,2.0,2.0,49.0,2,2,0
"RIVER ANAS AT DAHOD, (KUSHALGARH), DIST. PANCHMAHAL",GUJARAT,24.0,29.0,7.4,8.2,8.1,8.5,295.0,572.0,1.0,1.0,0.32,0.44,2.0,14.0,11.0,70.0,2,2,0
RIVER MALEI AT JAORA,MADHYA PRADESH,22.0,28.0,7.1,7.5,6.9,8.2,260.0,868.0,1.8,2.1,0.32,2.96,2.0,2.0,41.0,49.0,2,2,0
"RIVER SHIVNA AT RAMGHAT, MANDSAUR",MADHYA PRADESH,24.0,28.0,7.4,7.7,7.4,8.1,266.0,637.0,2.0,2.0,0.32,0.93,2.0,2.0,48.0,49.0,2,2,0
"RIVER PANAM AT LUNAWADA,",GUJARAT,24.0,30.0,7.4,8.2,8.0,8.5,231.0,477.0,1.0,1.0,0.32,0.38,2.0,9.0,11.0,50.0,,,0
RIVER CHILLAR AT SHAJAPUR,MADHYA PRADESH,23.0,28.0,6.7,7.5,7.3,7.9,252.0,450.0,1.6,2.0,0.32,0.9,2.0,2.0,47.0,49.0,2,2,0
