Monitoring Location,State,Temp_Min,Temp_Max,DO_Min,DO_Max,pH_Min,pH_Max,Conductivity_Min,Conductivity_Max,BOD_Min,BOD_Max,N_Min,N_Max,Fecal_Min,Fecal_Max,Coliform_Min,Coliform_Max,Strepto_Min,Strepto_Max,Cluster
RIVER SUTLEJ D/S ACC BARMANA,HIMACHAL PRADESH,9.0,26.0,8.3,9.2,7.4,8.0,102.0,235.0,1.0,1.0,0.32,2.21,23.0,84.0,110.0,280.0,2,2,0
RIVER SUTLEJ NEAR LUHNOO GROUND,HIMACHAL PRADESH,10.0,33.0,8.1,8.9,6.8,8.3,150.0,335.0,1.0,2.8,0.39,3.5,33.0,1600.0,240.0,1600.0,2,2,0
RIVER SUTLEJ BEFORE CONFLUENCE WITH GANVI KHAND,HIMACHAL PRADESH,7.0,13.0,8.9,9.4,7.5,8.3,117.0,258.0,1.0,1.0,0.32,1.01,5.0,26.0,17.0,350.0,2,2,0
RIVER SUTLEJ AFTER CONFLUENCE WITH GANVI KHAD,HIMACHAL PRADESH,7.5,13.0,8.9,9.4,7.6,8.2,100.0,248.0,1.0,1.0,0.32,0.82,7.0,110.0,17.0,1600.0,2,2,0
RIVER SUTLEJ AT NANGAL (H.P.),HIMACHAL PRADESH,16.5,23.0,7.0,9.8,7.9,8.3,230.0,356.0,1.0,1.0,0.42,0.71,20.0,4500.0,460.0,33000.0,17,130,0
RIVER SUTLEJ U/S OF EXIT POINT OF DEHAR POWER HOUSE,HIMACHAL PRADESH,9.0,26.0,8.5,9.6,5.7,8.0,96.0,286.0,1.0,1.0,0.32,0.98,22.0,49.0,70.0,240.0,2,2,0
RIVER SUTLEJ D/S OF EXIT POINT OF DEHAR POWER HOUSE,HIMACHAL PRADESH,9.0,26.0,8.1,9.1,7.3,8.1,94.0,240.0,1.0,1.0,0.32,2.08,32.0,84.0,110.0,430.0,2,2,0
RIVER SUTLEJ D/S BHAKHRA,HIMACHAL PRADESH,16.0,26.0,8.2,9.3,6.9,8.3,203.0,354.0,1.0,2.3,0.32,0.93,2.0,6.0,13.0,80.0,2,2,0
"RIVER SUTLEJ U/S AT OLINDA, NEAR BHAKRA DAM, H.P.",HIMACHAL PRADESH,19.0,23.0,7.0,10.7,7.9,8.4,223.0,273.0,1.0,1.0,0.42,2.47,2.0,2600.0,13.0,54000.0,2,17,0
"RIVER SUTLEJ D/S OLINDA, NEAR BHAKRA DAM, H.P.",HIMACHAL PRADESH,18.5,23.0,7.1,10.4,8.0,8.3,217.0,272.0,1.0,1.0,0.47,1.13,4.0,2200.0,14.0,92000.0,2,490,0
